Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Experimental Condition [TF Gene Construct],TF Gene GenBank Identifier,Experimental Condition [Target Gene Construct],Target Gene GenBank Identifier,Experimental Condition [TF Operator],Experimental Condition [Target Operator],Experimental Condition [Growth Media],Assay Name,Image File (nd2),Comment [Image File Type],Channels
O1_Gly_Trial1,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,4X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial1,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,5X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial1,ATO1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,0X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial1,NoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,NoO1V1,NoO1V1,M9 Glycerol ,Asymmetry with different media,no,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial1,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glycerol ,Asymmetry with different media,HG ,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial2,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,1X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial2,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,2X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial2,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,3X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial2,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,4X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial2,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,5X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial2,ATO1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,0X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial2,NoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,NoO1V1,NoO1V1,M9 Glycerol ,Asymmetry with different media,no,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial2,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glycerol ,Asymmetry with different media,HG ,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial3,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,1X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial3,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,2X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial3,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,3X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial3,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,4X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial3,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,5X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial3,ATO1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glycerol ,Asymmetry with different media,0X,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial3,NoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,NoO1V1,NoO1V1,M9 Glycerol ,Asymmetry with different media,no,Raw,"Phase, mCherry, YFP"
O1_Gly_Trial3,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glycerol ,Asymmetry with different media,HG ,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial1,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,1X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial1,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,2X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial1,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,3X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial1,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,4X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial1,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,5X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial1,ATO1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,0X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial1,NoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,NoO1V1,NoO1V1,RDM ,Asymmetry with different media,no,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial1,HG105,Escherichia coli,NCBITaxon,562,,,,,,,RDM ,Asymmetry with different media,HG ,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial2,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,1X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial2,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,2X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial2,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,3X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial2,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,4X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial2,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,5X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial2,ATO1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,0X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial2,NoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,NoO1V1,NoO1V1,RDM ,Asymmetry with different media,no,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial2,HG105,Escherichia coli,NCBITaxon,562,,,,,,,RDM ,Asymmetry with different media,HG ,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial3,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,1X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial3,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,2X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial3,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,3X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial3,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,4X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial3,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,5X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial3,ATO1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,RDM ,Asymmetry with different media,0X,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial3,NoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,NoO1V1,NoO1V1,RDM ,Asymmetry with different media,no,Raw,"Phase, mCherry, YFP"
O1_RDM_Trial3,HG105,Escherichia coli,NCBITaxon,562,,,,,,,RDM ,Asymmetry with different media,HG ,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial1,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,1X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial1,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,2X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial1,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,3X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial1,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,4X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial1,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,5X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial1,ATO2,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,0X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial1,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glucose ,Asymmetry with different media,HG ,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial2,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,1X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial2,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,2X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial2,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,3X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial2,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,4X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial2,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,5X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial2,ATO2,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,0X,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial2,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glucose ,Asymmetry with different media,HG ,Raw,"Phase, mCherry, YFP"
O2_Glu_Trial3,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O2,O2,M9 Glucose ,Asymmetry with different media,1X,Raw,"Phase, mCherry, YFP"
